"","logFC","logCPM","PValue","FDR"
"YMR195W",1.18676464733531,5.8814174359713,0.000313316686996446,0.00601752342966703
"YMR131C",1.47569874173428,7.32733232886307,0.00032640731000496,0.0062005519544215
"YOL041C",1.67156586808236,6.12516540236474,0.000339653486897246,0.00636480148930956
"YLR435W",2.1042257425857,4.2943157029067,0.000339927185206234,0.00636480148930956
"YDR500C",1.53161863361281,9.39005728423116,0.00034358310585939,0.00641027908931949
"YDL051W",1.45701368896169,6.72792517579022,0.00036180582048769,0.00672624059155763
"YHL011C",1.20065885977298,7.02484827948823,0.000370167292942887,0.00680899274061141
"YNL248C",1.4954047498853,6.40434429860402,0.000387321409027478,0.00707393888091453
"YBL004W",1.13081076377406,6.61826698841145,0.00039039339855362,0.00707393888091453
"YHR196W",2.04302316892227,5.32865392166526,0.000391341565196076,0.00707393888091453
"YLR372W",1.10396430780426,7.61360355115749,0.000431113964376386,0.00753223862843559
"YPL080C",2.5925004371502,3.56133551768446,0.000440184470223295,0.00758961677270746
"YMR309C",1.00845531179648,7.1571575428699,0.000441973022800293,0.0075949574707524
"YER127W",1.74022829363491,5.20368988578787,0.000456132831386002,0.00777779693952272
"YER082C",1.07449236209704,6.47217313748417,0.000456299152591203,0.00777779693952272
"YDL031W",1.25350425629261,6.70440980818224,0.00047089019018323,0.00796093965539544
"YNL162W",1.60284599168832,9.27735775166409,0.000487847216149055,0.0082210124424602
"YDL082W",1.60354743731393,9.10529091281154,0.000496065227758085,0.00833261977430302
"YKR057W",1.77118403690551,8.68405636255022,0.00050304893468385,0.00842284498329626
"YPL030W",1.74123687411816,4.84599827231651,0.000511535029366578,0.00848336188384445
"YNL096C",1.53875512166922,8.86677515753401,0.000519405902621681,0.00853263029967189
"YJL069C",1.62085460998221,5.33243018775276,0.000522887167360234,0.00856107613340017
