conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YCL037C	3	6	10	32
YCL036W	18	14	12	15
YCL035C	284	260	128	143
YCL034W	196	137	101	153
YCL033C	53	46	15	21
YCL032W	55	75	42	52
YCL031C	42	49	65	108
YCL030C	392	2042	313	428
YCL029C	38	31	40	48
YCL028W	138	159	97	127
YCL027W	8	9	7	5
YCL026C-B	36	29	21	25
YCL026C-A	2	3	1	0
YCL025C	103	811	366	440
YCL024W	24	25	34	49
YNCC0001C	0	0	0	0
YCL021W-A	3	5	5	5
YCL019W	71	99	55	63
YCL020W	0	0	0	0
YNCC0002W	1	0	0	0
YCL018W	334	1289	442	736
YCL017C	132	138	71	107
YCL016C	17	15	20	36
YCL014W	71	53	53	69
YCL012C	23	21	9	13
YCL011C	173	151	159	250
YCL010C	65	40	40	68
YCL009C	182	725	150	219
YCL008C	55	61	53	84
YCL005W-A	33	56	38	46
YNCC0003C	7	6	4	2
YCL005W	20	23	15	39
YCL004W	28	29	25	32
YCL002C	23	17	13	34
YCL001W	55	67	46	75
YCL001W-A	3	2	0	0
YCL001W-B	0	3	2	2
YCR001W	2	0	0	6
YCR002C	118	121	73	128
YCR003W	26	32	13	15
YCR004C	425	473	229	276
YCR005C	227	149	144	320
YCR006C	3	2	2	3
YNCC0004C	1	1	4	0
YCR007C	20	11	9	8
YNCC0005W	0	0	0	0
YCR008W	109	103	92	116
YCR009C	158	157	97	145
YCR010C	11	2	4	2
YCR011C	386	281	189	220
YCR012W	4954	6490	2526	3572
YCR014C	24	12	22	20
YCR015C	29	15	13	8
YNCC0006C	7	4	9	12
YNCC0007C	0	0	0	0
YCR016W	21	26	35	59
YCR017C	205	210	148	182
YCR018C	18	24	13	19
YNCC0008W	0	0	0	0
YNCC0009C	0	0	0	0
YCR019W	27	28	22	35
YCR020C	8	2	2	12
YCR020C-A	19	10	9	17
YCR020W-B	9	1	2	8
YCR021C	304	261	93	204
YCR022C	1	0	1	0
YCR023C	91	52	28	63
YCR024C	25	25	20	24
YCR024C-B	236	198	165	290
YCR024C-A	129	124	121	157
YCR025C	5	2	3	4
YCR026C	82	65	54	80
YCR027C	18	15	21	22
YNCC0010C	0	0	0	0
YCR028C	41	21	34	39
YCR028C-A	81	73	44	69
YCR030C	239	231	162	206
YNCC0011W	0	0	0	0
YCR031C	410	748	1398	2021
YNCC0012C	1	0	1	2
YCR032W	99	55	51	59
YCR033W	139	102	102	156
YCR034W	66	88	104	149
YCR035C	53	61	56	79
YCR036W	115	61	53	84
YCR037C	66	51	59	79
YCR038C	20	23	15	21
YCR039C	21	12	12	10
YCR040W	0	0	0	0
YCR041W	2	2	1	3
YCR042C	98	102	82	111
YCR043C	22	22	32	33
YCR044C	57	54	33	46
YCR045C	31	9	19	27
YCR046C	54	40	26	34
YCR047C	21	11	43	75
YCR048W	43	35	38	68
YCR050C	2	0	0	0
YCR051W	38	49	77	132
YCR052W	52	68	51	92
YCR053W	169	447	182	251
YCR054C	21	13	12	19
YCR057C	25	17	39	65
YCR059C	36	38	46	68
YCR060W	15	18	11	30
YCR061W	73	59	39	54
YNCC0013W	0	0	1	0
YCR063W	2	1	5	6
YCR065W	43	12	27	30
YCR066W	17	20	14	23
YCR067C	122	136	92	141
YCR068W	71	49	39	45
YCR069W	132	134	47	84
YCR071C	25	41	20	26
YCR072C	7	2	5	23
YCR073C	48	30	28	34
YCR073W-A	135	139	88	89
YCR075C	31	10	11	18
YCR075W-A	15	10	11	8
YCR076C	48	31	22	34
YCR077C	126	153	98	143
YCR079W	53	40	29	31
YCR081W	32	46	37	67
YCR082W	74	74	47	56
YCR083W	30	61	20	21
YCR084C	263	218	187	288
YCR085W	1	0	0	1
YCR086W	19	12	11	21
YCR087C-A	13	19	27	43
YCR088W	327	253	145	197
YCR089W	45	21	22	27
YCR090C	25	36	39	55
YCR091W	183	153	68	97
YCR092C	41	29	25	58
YCR093W	254	204	160	220
YCR094W	43	39	30	40
YCR095C	26	16	26	34
YCR095W-A	1	2	0	1
YCR096C	17	8	9	20
YCR097W	21	18	11	18
YNCC0014W	0	0	0	0
YCR098C	8	6	9	6
YCR099C	16	6	6	18
YCR100C	13	13	7	14
YCR101C	5	5	7	10
YCR102C	14	8	5	4
YCR104W	0	0	0	0
YCR105W	0	0	0	0
YCR106W	0	0	0	0
