"","logFC","logCPM","PValue","FDR"
"YBR172C",1.18614270802226,6.61390910853283,2.62634042625653e-05,0.000908609429587027
"YNL112W",2.24168917704947,6.36277297893653,2.65045868600515e-05,0.000910920801032296
"YHR065C",1.4463269708126,6.28163009436816,2.67868719091147e-05,0.000914605351981799
"YLR074C",1.25525548265934,6.35399567792532,2.81519352309197e-05,0.00095497214056055
"YDL150W",1.40893869291938,5.98011337632821,2.88233297923025e-05,0.000971439192483796
"YKL103C",-1.55855310489334,8.63781877474643,3.01846128733654e-05,0.00101079754904142
"YJR002W",1.25950970377539,6.87258021636116,3.07502310752779e-05,0.00102039359817009
"YNL062C",1.5254317329823,5.54252315825227,3.08986275544987e-05,0.00102039359817009
"YCR057C",1.378028531403,5.65216014011182,3.12482533062752e-05,0.00102039359817009
"YLR303W",-4.44822027451529,8.45333791096261,3.12524838643213e-05,0.00102039359817009
"YHL016C",-1.60792314307858,5.11057963324153,3.21193256916216e-05,0.00104218234418032
"YOR215C",-1.09856841102484,6.78807810802757,3.28182031561222e-05,0.00105828576103446
"YMR070W",1.26178265659957,6.77691310651034,3.41372971684518e-05,0.00109406895955823
"YDR031W",-1.63531162641987,5.06169135112625,3.46555740329372e-05,0.00110390682163454
"YLR406C",1.6338774967748,8.17054924534561,3.83569872403085e-05,0.00120968518220545
"YER110C",1.19691630183906,7.63259720177933,3.84394602308775e-05,0.00120968518220545
"YGR177C",1.75506987273952,4.71089618764008,3.94102992845602e-05,0.0012328107991769
"YGR128C",1.45690500279605,6.12446772224371,4.04584476746923e-05,0.00125806506340829
"YDL014W",2.10009452662069,8.78433798161269,4.25042874946524e-05,0.00131386034243825
"YBR089C-A",-1.23250464200158,5.89116721689951,4.67133743286109e-05,0.00143043247252445
"YGR271C-A",1.84651213497063,4.77246998561881,4.68231150079787e-05,0.00143043247252445
"YPL146C",1.5834395341678,6.30009244354642,4.79108991073732e-05,0.0014476053197433
"YKL205W",1.20499096295907,6.13988231458854,4.82746032327913e-05,0.0014476053197433
"YML128C",-1.67574690898962,9.47341801801737,4.83911281489429e-05,0.0014476053197433
"YER042W",-3.44361143269554,5.85346454535573,4.84936697846626e-05,0.0014476053197433
"YKL172W",1.54994733022173,6.88711307851565,5.05277458567538e-05,0.00149975536565728
"YJR063W",2.42645117912036,4.07490346734188,5.20235292440004e-05,0.0015354289083088
"YER142C",-1.26369920608645,5.94311763848167,5.24587912610432e-05,0.00153957710981848
"YDL037C",1.95544212632194,4.30040635680288,5.43070857796967e-05,0.00158491740845327
"YOR341W",1.52049780062542,8.38236908514749,5.56030665454576e-05,0.00161372455351928
"YGR209C",-1.17983605857917,7.55048077932078,5.60768540377381e-05,0.00161848334526599
"YGL147C",1.99305183484694,10.1706193393243,5.71747715789113e-05,0.00164110443257271
"YJL066C",-1.26516843344403,6.48118002069664,6.13713003984968e-05,0.00175193264088387
"YNL110C",1.533878716938,5.9833534396979,6.18960763538086e-05,0.00175731034169726
"YKL014C",1.35336309186124,6.27491882854039,6.43542359395542e-05,0.00181722447863909
"YER119C",-1.30210848046199,6.81251340213566,6.48244524755185e-05,0.00182066096630166
"YER150W",-1.08876924056836,7.13103194361705,6.7541031042385e-05,0.00188681468537657
"YOR340C",1.28266405302763,5.94418358065971,6.95858873534206e-05,0.00193359933794824
