"","logFC","logCPM","PValue","FDR"
"YBR033W",-1.05499849156402,5.84815972877075,0.000916931259791039,0.0126386514542174
"YDR216W",-1.12885614313822,8.21540233647617,0.000967474544085411,0.0131421314010896
"YMR174C",-1.35887002895311,4.99350444240435,0.00100294630247091,0.0134688727097892
"YFL014W",-1.73566261649115,10.1737160433769,0.00101940449284644,0.0135851251801781
"YMR095C",-3.22769490461742,5.253197816874,0.00105183143995082,0.0139461102596525
"YGR194C",-1.01291823610374,7.70744797442173,0.0012949667184714,0.0167863675863389
"YLR070C",-1.30650755298815,5.36375732118422,0.0013136259726783,0.0169024189193878
"YDR036C",-1.13884701811344,5.22789950543051,0.00140780037446616,0.0177566226897183
"YLR411W",-1.87663149453191,3.96538723033535,0.00147283873563542,0.0181893842906842
"YMR062C",-2.82557010028301,7.54875587225842,0.00155579342473256,0.018945139512361
"YJR122W",-1.21542171778533,5.31185239726586,0.00165732888624242,0.0199031864407596
"YNL195C",-1.69449741684472,6.20518161206045,0.00168139883368997,0.0201188836037836
"YBR139W",-1.082716968689,8.34898949081416,0.00169021585361772,0.0201591041536506
"YIL094C",-1.15619418208513,8.49189917420168,0.00170794539870676,0.0203241611909888
"YGR244C",-1.16365843906145,8.56510563605563,0.00174109818455618,0.0206247095603661
"YMR250W",-1.1306309039687,9.05692428005502,0.00175090855853877,0.0206939961760329
"YLR258W",-1.18174288046439,9.38606124510897,0.00175748433479485,0.0207248265574905
"YKL053C-A",-1.11105220252931,5.71063614644539,0.00178126000731278,0.0209578880139684
"YBR024W",-1.1949538086214,5.62672510638693,0.00183531129203853,0.0214970093937428
"YDR462W",-1.03317924161772,5.42471789590498,0.00193549977278751,0.022369581444783
"YGR021W",-1.09911622892698,5.61085471971642,0.00196500088582086,0.022561738104604
"YDL110C",-1.00937895137775,7.83738792109112,0.00203851754339848,0.0231504687972036
"YJL060W",-1.30636008400765,6.73964526424615,0.00217909689954153,0.0244617802237988
"YLR174W",-2.31047733169633,6.24526372375674,0.00222167889693416,0.024746376455403
"YBR054W",-1.09536415464957,6.54377668934897,0.00248203760599646,0.0267837937297038
"YML050W",-1.51792811919373,4.31252679297689,0.00248438616085998,0.0267837937297038
"YBL049W",-2.13807647432782,4.75936145663118,0.00248662709779984,0.0267837937297038
"YGR254W",-1.18592263825067,11.3712565900959,0.00254878394278388,0.0272287266198425
"YOL155C",-2.21674588275789,10.1904267306562,0.00268303446226688,0.028060856100114
"YDL131W",-1.24458860787866,8.05190430112082,0.00268705976843455,0.028060856100114
"YEL060C",-1.19749739340534,9.92820621293617,0.00271981018358179,0.0283033633446838
"YOL044W",-1.19931585320297,4.89427436384013,0.00315719924729944,0.0321505046157744
"YFL054C",-1.16456818645219,7.84092225624129,0.00316470578840809,0.0321642471568946
"YMR297W",-1.13770827929418,9.7670068504422,0.00329730741461647,0.0330687933557678
"YOR130C",-1.37858563256885,5.46285913013985,0.00332551938220885,0.0332616670901729
"YOL023W",-1.20289402403368,5.30255764843749,0.00334588319638732,0.0332616670901729
"YDR343C",-1.19966854221275,12.5661858341664,0.0033610185304053,0.0332616670901729
"YHR087W",-1.10537696404019,9.61867101843241,0.0033618224011507,0.0332616670901729
"YBR145W",-3.07757374581182,7.30016731614016,0.00337975962850122,0.0333759249513995
"YJL185C",-1.23562437026626,5.02571290672377,0.00347021865426112,0.0341237362175663
"YGR157W",-1.0220607291772,8.53279991130697,0.00374470842035387,0.0358942326384012
"YLL039C",-1.11200769667116,10.1395679500225,0.00378719469022244,0.0360369855404773
"YGR248W",-1.15019735124149,8.48109923273429,0.0039393330268713,0.03697242417049
"YDR451C",-1.40345969795652,4.64034986805579,0.00400038017177347,0.037265159453909
"YEL041W",-2.06853115681563,6.12209268543595,0.00403640351635257,0.0374157793086664
"YHR176W",-1.54571079725528,5.15874280794442,0.00414698974169282,0.0380226520234929
"YBR299W",-1.18319755622576,10.1699935984723,0.00414871968862767,0.0380226520234929
"YDR342C",-1.16434353911961,12.7454547332366,0.00421658549104615,0.0385095150440998
"YGL229C",-1.03878529361901,5.88107507725847,0.00424103005933665,0.0385978066724297
"YGR292W",-1.19424234637953,10.3072195377277,0.00427406063660881,0.0386961746371654
"YMR094W",-1.87985081596816,4.30804132521249,0.00432261789829317,0.0390006146816641
"YGR289C",-1.20449551745257,10.4722682170276,0.00445052326812825,0.0400164088686781
"YMR170C",-1.23981123969025,6.20810601398156,0.00478449228054832,0.0423846201888772
"YDR148C",-1.05144668929598,8.73563803155243,0.00479185639296382,0.0423846201888772
"YHR071W",-1.87467917191833,6.52678153567576,0.00482656466264925,0.0425193487313316
